creation_date,update_date,city,zip_code,country,geometry_type,geometry_coords,description,headline,title,keyfacts,price_value,brand,id,numberOfRooms,numberOfBedrooms,livingSpace,numberOfFloors,availability,plotSpace,lon,lat,price_m2
2025-07-02 21:43:00+00:00,2025-07-11 08:57:05.965000+00:00,Marseille,13014,FRA,Point,"[5.37497230078856, 43.326444421986]","-une pièce à vivre donnant sur une cuisine équipée ( plaque induction deux feux, hotte aspirante)
-une chambre
- une salle d'eau avec wc.",À propos de ce bien,Appartement à louer,"['2 pièces', '1 chambre', '43 m²']",630.0,seloger,259SI724C5SZ,2.0,1.0,43.0,,,,5.37497230078856,43.326444421986,15.0
2025-12-08 07:13:00+00:00,2025-12-09 01:17:16.935000+00:00,Marseille 6ème,13006,FRA,Point,"[5.383149000000002, 43.29266999999992]","À LOUER – Studio/T1 avec mezzanine et terrasse – Dernier étage – Marseille

Découvrez ce charmant studio/T1 de 16,81 m² Carrez et 24 m² au sol, idéalement situé au 3 € et dernier étage d'un immeuble marseillais. Le logement bénéficie d'un agencement optimisé ainsi que d'un extérieur très appréciable.

Il se compose d'une cuisine, une salle de bain, une chambre séparée, une mezzanine, parfaite pour du rangement, et une terrasse / balcon, idéale pour profiter des beaux jours.

Situé dans un quartier recherché, proche des commodités et des transports, ce bien offre un cadre de vie agréable et fonctionnel.

Loyer : 500 € + 20 € de charges
Dépôt de garantie : 500 €
Honoraires de location : 218,53 €, dont 50,43 € pour l'état des lieux",Studio/T1 avec mezzanine et terrasse – Dernier étage – Marseille,Appartement à louer,"['1 pièce', '16,8 m²', 'Étage 3/3']",520.0,seloger,25I7782NVY6Q,1.0,,16.8,33.0,,,5.383149000000002,43.29266999999992,31.0
2025-06-13 18:07:00+00:00,2025-07-11 03:38:07.118000+00:00,Marseille 11ème,13011,FRA,MultiPolygon,"[[[[5.50707, 43.27371], [5.51094, 43.26852], [5.51477, 43.26736], [5.51316, 43.26332], [5.50415, 43.26575], [5.50016, 43.26486], [5.49889, 43.2677], [5.49614, 43.26847], [5.49245, 43.26732], [5.49155, 43.26795], [5.48569, 43.26387], [5.48458, 43.26205], [5.48618, 43.25777], [5.48274, 43.25499], [5.47245, 43.25344], [5.46311, 43.25395], [5.45531, 43.25675], [5.45187, 43.25556], [5.45224, 43.25746], [5.45984, 43.25948], [5.4583, 43.26277], [5.45399, 43.26583], [5.45351, 43.27236], [5.45602, 43.27605], [5.45283, 43.27534], [5.4522, 43.27372], [5.44444, 43.27676], [5.4449, 43.27928], [5.44221, 43.2814], [5.44499, 43.28327], [5.44204, 43.28567], [5.43604, 43.28422], [5.43631, 43.28512], [5.43262, 43.28631], [5.42541, 43.28594], [5.4264, 43.29075], [5.42494, 43.29326], [5.43202, 43.2941], [5.43973, 43.29728], [5.44226, 43.29471], [5.45123, 43.29862], [5.45818, 43.29973], [5.45793, 43.30149], [5.46275, 43.30184], [5.46978, 43.29969], [5.47667, 43.30013], [5.4769, 43.30174], [5.47387, 43.30449], [5.47588, 43.3052], [5.47668, 43.30913], [5.47211, 43.31205], [5.47118, 43.31456], [5.48103, 43.31367], [5.48744, 43.31544], [5.49987, 43.31515], [5.50182, 43.31764], [5.50858, 43.31837], [5.51363, 43.32187], [5.52229, 43.321], [5.5218, 43.31521], [5.52438, 43.31378], [5.52961, 43.31427], [5.53099, 43.31317], [5.52707, 43.30891], [5.52836, 43.30378], [5.5324, 43.29899], [5.52833, 43.29596], [5.5281, 43.29386], [5.52497, 43.29423], [5.52274, 43.29316], [5.52117, 43.28987], [5.51852, 43.28915], [5.5184, 43.28795], [5.51293, 43.28888], [5.51109, 43.28222], [5.50534, 43.28317], [5.50526, 43.27675], [5.50707, 43.27371]]]]","13011 MARSEILLE T1 30m2 habitable. 
Piece principale ,Cuisine aménagée. et équip. avec frigo four micro-ondes plaques ,salle de bains avec wc. Loyer: 660 € - Toutes nos annonces sur gitimmo - merci de mettre votre n°de téléphone afin d'être contacté au plus vite - Vous pouvez passer directectement au 3 Rue Dragon 13006 Marseille du Lundi au vendredi de 9h30 à 12h30 et de 14h à 18h30 et le samedi de 10h à 13h.. Forfait: 350€ 
 - DPE en cours -",À propos de ce bien,Appartement à louer,"['1 pièce', '30 m²']",660.0,seloger,25HYLFCTDUA6,1.0,,30.0,,,,5.483736517275704,43.28838119875354,22.0
2025-11-17 13:09:00+00:00,2025-11-19 02:26:11.538000+00:00,Marseille 13ème,13013,FRA,Point,"[5.453503, 43.325842]","SANS HONORAIRES. Louez du neuf sans plafond de ressources!! Résidence neuve LES OLIVES, à quelques pas du village Des Olives 13013 MARSEILLE, dans secteur pavillonnaire à l'abri des regards tout en étant à deux pas de toutes les commodités à pieds (écoles primaire et maternelles, commerces, transports en commun). Nous vous proposons ce magnifique type 3 de 62M² situé au 1er étage et avec des prestations de qualité. La cuisine est agencée d'éléments hauts et bas donnant sur la pièce de vie et la belle terrasse de plus de 13 M². les placards sont aménagés d'étagères et de tringles. la salle est équipée d'un meuble vasque, miroir, sèche serviette. les wc séparés sont équipés d'un lave main. deux stationnements privatifs sont inclus dans le prix ainsi que des provisions d'eau chaude et d'eau froide. livraisons prévue début décembre 2025 Location uniquement sur plan avec visite du logement témoin. photos non contractuelles Référence à rappeler lors de nos échanges : A934 - 372789 Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :  LAC / Logement Abord.contract.",Appartement T3,Appartement à louer,"['3 pièces', '2 chambres', '63 m²', '1er étage']",1190.0,seloger,25TWKEWXQHC7,3.0,2.0,63.0,1.0,,,5.453503,43.325842,19.0
2025-11-19 00:59:00+00:00,2025-12-10 13:11:12.469000+00:00,Marseille,13014,FRA,Point,"[5.402380194068464, 43.333909196986525]","QUIETIS GESTION // RESIDENCE JARDIN EMY – 13014 MARSEILLE // DISPOSITIF PINEL

La résidence Jardin Emy, située dans le 14 € arrondissement de Marseille, offre un cadre de vie calme, verdoyant et bien desservi. Proche des commerces, écoles, transports et grands axes routiers, elle bénéficie d'un environnement pratique et familial. Son vaste espace paysager, ses jardins partagés et sa conception écoresponsable en font un lieu de vie agréable.

Vous pouvez contacter notre commerciale Madame ESPADINHA au 06x58x47x63x14 ou par mail  pour visiter ce bel appartement T3 de 66.40m² situé au 4ème étage avec une loggia de 9.5m². Un séjour donnant sur une cuisine équipée d'un plan de travail, évier, plaque de cuisson, hotte et meubles hauts et bas. Deux chambres, une salle de bain et un WC indépendant.
Deux parkings.

Compris dans le loyer charges comprises : Eau chaude + Eau froide + chauffage

Honoraires de 863,20 euros TTC à la charge du locataire comprenant 199,20 euros TTC pour l'état des lieux. Loyer de base 870.00 euros/mois. Provision sur charges 125 euros/mois, régularisation annuelle. Dépôt de garantie 870 euros. Classe énergie B, Classe climat B Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 362.00 euros et 490.00 euros sur les années 2021, 2022 et 2023 (abonnements compris). Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr. 

Carte pro. CPI 1310 2016 000 009 075 
 AC ADC 1310 2023 000 001 142",T3 AVEC LOGGIA + PARKINGS,Appartement à louer,"['3 pièces', '2 chambres', '66,4 m²', 'Étage 4/4']",995.0,seloger,25DCTT5VLQID,3.0,2.0,66.4,44.0,,,5.402380194068464,43.333909196986525,15.0
2025-11-18 14:35:00+00:00,2025-11-22 01:21:27.439000+00:00,Marseille 2ème,13002,FRA,MultiPolygon,"[[[[5.374, 43.30148], [5.37389, 43.30151], [5.37384, 43.30151], [5.37378, 43.30152], [5.37373, 43.30153], [5.37368, 43.30154], [5.37365, 43.30155], [5.37341, 43.30161], [5.37329, 43.30165], [5.37321, 43.30167], [5.37309, 43.30158], [5.37299, 43.30148], [5.37297, 43.3014], [5.37296, 43.30126], [5.37291, 43.30123], [5.37262, 43.30113], [5.37257, 43.30096], [5.37244, 43.30085], [5.37216, 43.30063], [5.37205, 43.30052], [5.37138, 43.30081], [5.37122, 43.30093], [5.37115, 43.30096], [5.37124, 43.30102], [5.37122, 43.30103], [5.37112, 43.30097], [5.37105, 43.30093], [5.37098, 43.30096], [5.37055, 43.30077], [5.37042, 43.30072], [5.36972, 43.30157], [5.36889, 43.30259], [5.36912, 43.30254], [5.36957, 43.30245], [5.36978, 43.30241], [5.36984, 43.30292], [5.37001, 43.30308], [5.37017, 43.30328], [5.37031, 43.30341], [5.37056, 43.30336], [5.37179, 43.30307], [5.37191, 43.30303], [5.37215, 43.30297], [5.37304, 43.3027], [5.3726, 43.30241], [5.37282, 43.30236], [5.37313, 43.30216], [5.37346, 43.30194], [5.37356, 43.30187], [5.37385, 43.30164], [5.37393, 43.30165], [5.37401, 43.30166], [5.3741, 43.30168], [5.37413, 43.30168], [5.37408, 43.30161], [5.37402, 43.30155], [5.374, 43.30148]]]]","SANS FRAIS D'AGENCE SOUMIS A CONDITION Centre ville secteur Joliette proche toutes commodités et axes autoroutiers Nouvelle commercilialisation,résidence neuve, grand 3 pièces avec terrasse et stationnement en sous sol.Chauffage et eau chaude individuels gaz 360 de l'appartement témoin
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :  georisques. gouv. fr",APPARTEMENT,Appartement à louer,"['3 pièces', '2 chambres', '73,5 m²', '1er étage']",1068.0,seloger,25YBES7PGSZD,3.0,2.0,73.5,1.0,,,5.371326468388984,43.301987003216944,15.0
2025-09-03 12:11:00+00:00,2025-11-24 10:55:29.087000+00:00,Marseille 8ème,13008,FRA,MultiPolygon,"[[[[5.39253, 43.27036], [5.3884, 43.26906], [5.38945, 43.26736], [5.38773, 43.26589], [5.38499, 43.26544], [5.38355, 43.26751], [5.39083, 43.27208], [5.39159, 43.27203], [5.39253, 43.27036]]]]","Étudiants : vivez l'expérience de la colocation dans une maison à Marseille 8e !

Découvrez cette magnifique maison en colocation à louer dans le quartier prisé de Saint-Giniez à Marseille 13008. Offrant 8 chambres spacieuses, cette propriété est idéale pour ceux qui recherchent de l'espace et de la verdure. 

Des chambres confortables et lumineuses : de 10 à 21 m², idéales pour étudiants ou jeunes actifs

Espaces communs agréables de 55 m², parfaits pour partager des moments entre colocataires

Loyer toutes charges comprises, de 500 euros à 660 euros selon la taille de la chambre

Services inclus :

Logement entièrement meublé

Lave-linge à disposition

À seulement quelques minutes à pied, vous trouverez tout le nécessaire : commerces tels que Bio C' Bon et Casino, ect. Les transports en commun sont facilement accessibles, avec l'arrêt de bus Cadenelle Charley à 5 minutes, desservi par la ligne 86. Une situation parfaite pour vos études. À seulement 5 minutes à pied du métro Rond-Point du Prado : accès rapide au centre-ville, à la Faculté de Luminy, à KEDGE Business School.",maison,Maison à louer,"['10 pièces', '9 chambres', '202,4 m²']",500.0,seloger,255LUMT1J3VI,10.0,9.0,202.4,,,,5.3877755136987275,43.26850856386103,2.0
2025-06-23 22:03:00+00:00,2025-12-13 21:35:17.885000+00:00,Marseille 8ème,13008,FRA,MultiPolygon,"[[[[5.40225, 43.17592], [5.40057, 43.17517], [5.39988, 43.17586], [5.40235, 43.17673], [5.40225, 43.17592]]], [[[5.3847, 43.17365], [5.38658, 43.17399], [5.38137, 43.17475], [5.38159, 43.17626], [5.3776, 43.17573], [5.37531, 43.17707], [5.37289, 43.17692], [5.37176, 43.17946], [5.37506, 43.17827], [5.37486, 43.1795], [5.37758, 43.17928], [5.38066, 43.18083], [5.38189, 43.17956], [5.38445, 43.17949], [5.38388, 43.17857], [5.3864, 43.17834], [5.38642, 43.17917], [5.39751, 43.17477], [5.39869, 43.17373], [5.39782, 43.173], [5.38639, 43.17261], [5.3847, 43.17365]]], [[[5.38898, 43.18535], [5.38706, 43.18598], [5.38349, 43.18746], [5.3813, 43.19015], [5.38534, 43.18909], [5.3844, 43.18811], [5.38695, 43.18838], [5.39155, 43.18616], [5.38898, 43.18535]]], [[[5.36284, 43.19997], [5.36703, 43.19718], [5.37165, 43.19387], [5.36221, 43.19686], [5.36139, 43.19875], [5.35856, 43.1997], [5.36284, 43.19997]]], [[[5.22884, 43.19913], [5.23143, 43.1988], [5.22875, 43.1976], [5.22884, 43.19913]]], [[[5.35835, 43.20035], [5.35848, 43.19939], [5.35664, 43.19961], [5.35521, 43.20133], [5.35835, 43.20035]]], [[[5.3378, 43.21286], [5.33972, 43.21162], [5.34007, 43.20913], [5.33837, 43.2079], [5.32855, 43.2124], [5.3378, 43.21286]]], [[[5.32505, 43.21369], [5.32555, 43.21497], [5.32778, 43.21405], [5.32505, 43.21369]]], [[[5.35335, 43.23226], [5.35311, 43.2331], [5.35595, 43.23301], [5.35957, 43.23554], [5.36235, 43.23986], [5.36179, 43.24222], [5.36372, 43.24638], [5.3631, 43.24338], [5.36488, 43.24266], [5.36809, 43.24409], [5.36451, 43.24573], [5.3679, 43.24503], [5.3695, 43.24633], [5.37038, 43.2447], [5.37336, 43.24585], [5.37308, 43.25149], [5.37226, 43.25226], [5.37395, 43.25294], [5.37371, 43.25464], [5.3719, 43.25439], [5.37303, 43.25587], [5.3746, 43.25547], [5.37568, 43.2583], [5.37386, 43.25992], [5.3726, 43.25903], [5.3715, 43.25995], [5.37241, 43.26124], [5.37048, 43.26174], [5.37038, 43.26377], [5.36816, 43.26299], [5.36864, 43.26673], [5.36927, 43.26591], [5.37151, 43.26633], [5.36884, 43.26829], [5.36761, 43.26612], [5.368, 43.26831], [5.36955, 43.26891], [5.37262, 43.26782], [5.37419, 43.27962], [5.37648, 43.27919], [5.37858, 43.28108], [5.38874, 43.28315], [5.39911, 43.27757], [5.39922, 43.27305], [5.40154, 43.26969], [5.3974, 43.26756], [5.39393, 43.26788], [5.39911, 43.25872], [5.39695, 43.25809], [5.39935, 43.25465], [5.39456, 43.25338], [5.39698, 43.24909], [5.39693, 43.24741], [5.39489, 43.24628], [5.39613, 43.24461], [5.39004, 43.24153], [5.39277, 43.23976], [5.39128, 43.23809], [5.39194, 43.23497], [5.38955, 43.23303], [5.38146, 43.232], [5.38185, 43.22705], [5.37944, 43.22589], [5.37843, 43.22343], [5.38363, 43.22339], [5.38156, 43.20972], [5.37994, 43.21065], [5.37278, 43.20847], [5.37204, 43.20967], [5.37019, 43.2076], [5.36322, 43.20731], [5.36156, 43.20966], [5.35706, 43.20839], [5.3523, 43.21015], [5.35361, 43.21249], [5.35088, 43.21115], [5.34724, 43.21303], [5.34481, 43.21216], [5.34058, 43.21391], [5.3371, 43.2136], [5.33608, 43.21498], [5.34294, 43.21462], [5.34247, 43.21673], [5.34488, 43.21705], [5.34487, 43.21566], [5.34638, 43.21544], [5.34485, 43.2218], [5.34604, 43.22449], [5.34829, 43.2252], [5.34657, 43.22623], [5.34846, 43.22831], [5.34935, 43.22895], [5.3479, 43.22957], [5.34989, 43.23199], [5.35253, 43.23344], [5.35335, 43.23226]]], [[[5.3721, 43.2524], [5.37226, 43.25226], [5.37065, 43.2516], [5.3721, 43.2524]]]]","MARSEILLE 13008 / CARRÉ D'OR - À LOUER ! Superbe appartement 3 pièces meublé de 95M², niché dans une résidence de standing du 8ème arrondissement de Marseille. Dès l'entrée, soyez accueilli par un grand hall avec rangements. Découvrez ensuite un séjour lumineux ouvert sur une belle terrasse, un espace salle à manger et une cuisine séparée entièrement équipée. Côté nuit, profitez de deux chambres dont une avec dressing, une salle d'eau et un wc séparé. Une place de parking privative et une cave viennent compléter ce bien. LIBRE DE SUITE - REF : 4213 - DPE D et GES D - LOYER : 2000€ dont 200€ de charges (comprenant l'eau froide, l'eau chaude, le chauffage et l'entretien de la résidence) - DÉPÔT DE GARANTIE : 3600€ - HONORAIRES AGENCE CHARGE LOCATAIRE : 1235€ (dont 285€ d'état des lieux) - Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :  - MOBILIS :",BEL APPARTEMENT T3 MEUBLÉ DE 95M² AVEC PLACE DE PARKING,Appartement à louer,"['3 pièces', '2 chambres', '95 m²', 'Étage 2/8']",2000.0,seloger,25SRN5TWM4J5,3.0,2.0,95.0,28.0,,,5.374977951044883,43.23782879940649,21.0
2025-10-28 09:21:00+00:00,2025-10-28 09:26:15.490000+00:00,Marseille,13014,FRA,MultiPolygon,"[[[[5.38403, 43.32072], [5.38344, 43.32275], [5.38422, 43.32305], [5.38337, 43.32344], [5.38356, 43.32378], [5.38402, 43.32355], [5.3843, 43.32389], [5.38543, 43.3234], [5.38762, 43.32377], [5.38921, 43.32349], [5.38937, 43.32185], [5.38996, 43.32107], [5.38908, 43.32086], [5.38832, 43.32145], [5.3874, 43.32069], [5.38601, 43.32103], [5.38542, 43.32059], [5.38559, 43.32004], [5.38427, 43.3204], [5.38403, 43.32072]]]]","Quartier BONSECOURS 14ème.
Adéo vous propose un appartement exposé plein SUD avec un grand balcon, un trés bel espace à vivre, une grande salle de bain et un trés beau volume Cuisine-séjour + un parking.
Disponible  le 1er décembre.",Type 2 avec grande terrasse et parking,Appartement à louer,"['2 pièces', '1 chambre', '41 m²', 'Étage 1/7']",700.0,seloger,25WSQLTUPAPR,2.0,1.0,41.0,17.0,,,5.386424183539143,43.322173024087924,17.0
2025-11-04 21:15:00+00:00,2025-12-13 21:05:15.784000+00:00,Marseille 1er,13001,FRA,MultiPolygon,"[[[[5.37729, 43.29222], [5.37214, 43.29097], [5.37108, 43.29344], [5.37442, 43.29528], [5.37161, 43.29939], [5.37433, 43.29966], [5.37489, 43.30161], [5.3905, 43.30939], [5.39344, 43.30595], [5.39445, 43.30204], [5.38875, 43.30021], [5.38556, 43.29429], [5.38149, 43.29609], [5.38232, 43.29348], [5.37729, 43.29222]]]]","Situé rue de Rome, dans le quartier vivant de Noailles, à proximité immédiate de Castellane, du centre-ville et du Vieux-Port.Ce studio entièrement meublé de 19,58 m² offre un cadre moderne et confortable.L’appartement a été totalement refait à neuf avec des matériaux de qualité.Il comprend une pièce principale avec climatisation réversible et double vitrage, une cuisine entièrement équipée ainsi qu’une salle d’eau à l’italienane fonctionnelle et moderne.
Photos prises avant l'installation des meubles
 DPE de classe C (145 kWh) et GES de class A (4 kg).
Dépôt de garantie : 650 euros.Loyer : 670 euros charges comprises (dont 20 euros de provisions sur charges avec régularisation annuelle).Honoraires : 260 euros TTC.
 Dossier n° L506",Studio NOAILLES (13001),Studio à louer,"['1 pièce', '20 m²', '2ème étage', 'disponible dès maintenant']",670.0,seloger,25FHNW83IIZR,1.0,,20.0,2.0,disponible dès maintenant,,5.38263068299967,43.30006527668412,34.0
2025-12-12 11:30:00+00:00,2025-12-12 11:36:18.236000+00:00,Marseille 4ème,13004,FRA,MultiPolygon,"[[[[5.40434, 43.30336], [5.40411, 43.30333], [5.40409, 43.30333], [5.40392, 43.30331], [5.40355, 43.30326], [5.40349, 43.30326], [5.40313, 43.30321], [5.40244, 43.30312], [5.40244, 43.30304], [5.40245, 43.30295], [5.40248, 43.30264], [5.40253, 43.30224], [5.40256, 43.30208], [5.40257, 43.302], [5.40258, 43.30194], [5.40257, 43.30191], [5.40257, 43.30187], [5.40254, 43.30184], [5.40251, 43.30182], [5.40247, 43.30181], [5.40237, 43.30179], [5.40213, 43.30177], [5.40214, 43.30168], [5.40219, 43.30128], [5.40219, 43.30122], [5.40171, 43.30119], [5.40104, 43.30115], [5.40078, 43.30114], [5.40077, 43.30121], [5.40075, 43.30134], [5.40074, 43.30142], [5.40073, 43.3015], [5.40072, 43.30157], [5.40071, 43.30163], [5.40071, 43.3017], [5.40064, 43.30174], [5.4006, 43.30178], [5.40057, 43.30185], [5.40054, 43.30193], [5.40053, 43.30199], [5.40054, 43.30209], [5.40055, 43.30227], [5.40056, 43.30235], [5.40058, 43.30256], [5.40061, 43.30282], [5.40062, 43.30288], [5.40063, 43.30293], [5.4007, 43.30328], [5.40075, 43.30356], [5.40077, 43.30368], [5.4008, 43.30389], [5.40089, 43.30434], [5.40088, 43.30454], [5.40087, 43.30485], [5.40084, 43.30533], [5.40082, 43.30572], [5.40079, 43.30616], [5.40081, 43.30642], [5.40082, 43.3065], [5.40083, 43.30655], [5.40084, 43.30657], [5.40086, 43.30661], [5.401, 43.30655], [5.40181, 43.30628], [5.40198, 43.30654], [5.402, 43.30656], [5.40207, 43.30652], [5.40252, 43.30618], [5.40272, 43.30602], [5.40291, 43.30584], [5.40317, 43.30556], [5.40346, 43.30588], [5.40349, 43.3058], [5.4037, 43.30535], [5.40393, 43.30485], [5.40402, 43.30457], [5.40406, 43.30446], [5.4042, 43.30411], [5.40423, 43.30405], [5.40436, 43.30373], [5.40448, 43.30344], [5.40451, 43.30338], [5.40434, 43.30336]]]]","Clickandrent vous propose à la location ce charmant T3, loué meublé à Marseille. 

Situé au 5e étage sans ascenseur, cet appartement de 59m² est idéalement agencé pour offrir un espace de vie confortable et fonctionnel.

Le logement dispose d'une cuisine entièrement meublée et équipée (plaque de cuisson, réfrigérateur, four, micro-ondes), ouverte sur un beau séjour lumineux, agencé avec un canapé-convertible, une table et une télévision.

Les deux chambres sont spacieuses, dont une aménagée avec un lit double et une commode de rangement. Un espace dressing est également disponible. 

La salle de bain se compose d'une baignoire, d'un meuble-vasque et d'un sèche-serviettes chauffant. 

En bonus, cet appartement dispose d'une loggia avec un lave-linge.",T3 en location meublée à Marseille,Appartement à louer,"['3 pièces', '2 chambres', '59 m²', '5ème étage']",929.0,seloger,259PHMVR44IM,3.0,2.0,59.0,5.0,,,5.4021043171510295,43.303971077242,16.0
2025-11-19 11:52:00+00:00,2025-12-12 16:45:11.717000+00:00,Marseille 1er,13001,FRA,Point,"[5.3835311, 43.299871]","Rue Beaumont, au 3eme étage sans ascenseur, un appartement composé d'une entrée, un séjour lumineux, une cuisine séparée, deux chambres, une salle d'eau avec WC et un placard.
Disponible dès maintenant.
Pour plus d'informations contactez l'Agence 
Frais annuels d'énergie estimés entre 1130 et 1580 euros.
(Prix moyens des énergies indexés sur les années 2021,2022 et 2023 abonnement compris)",Appartement,Appartement à louer,"['3 pièces', '2 chambres', '49,8 m²', '3ème étage']",810.0,seloger,258LDFCB511P,3.0,2.0,49.8,3.0,,,5.3835311,43.299871,16.0
2025-12-08 21:40:00+00:00,2025-12-13 21:35:17.511000+00:00,Marseille 10ème,13010,FRA,Point,"[5.421385765, 43.278572083]","A+ Immoblier-Patrimoine vous propose à la location le bien suivant situé dans le secteur de Pont de Vivaux.  Au sein d'un immeuble récent de 2019, cet appartement de type 3 de 59m2 est composé d'une belle pièce de vie climatisée et ouvrant sur une terrasse et un beau jardin de 50m2. La cuisine américaine est entièrement équipée et meublée. Deux chambres dont une de 12m2 qui donnent également sur l'extérieur. La salle d'eau est spacieuse, elle bénéficie d'une douche à l'italienne et est séparée du wc. Le bien dispose de deux places de parking en sous-sol. Loyer de 1030 euros + 70 euros de charges. Honoraires de location de 767 euros à la charge du locataire ( état des lieux inclus).A proximité de nombreux commerces et des accès autouroute. Disponible le 26/12/2025.",Location Marseille 13010 / Pont de Vivaux / Type 3 meublé avec j,Appartement à louer,"['3 pièces', '2 chambres', '59 m²', 'RDC/4']",1130.0,seloger,258HY9876BPJ,3.0,2.0,59.0,4.0,,,5.421385765,43.278572083,19.0
2025-12-03 19:20:00+00:00,2025-12-03 19:25:18.354000+00:00,Marseille 1er,13001,FRA,MultiPolygon,"[[[[5.38836, 43.30065], [5.38792, 43.30116], [5.3879, 43.3012], [5.38789, 43.30127], [5.38788, 43.30129], [5.38746, 43.30176], [5.38758, 43.30184], [5.38823, 43.30213], [5.38854, 43.30227], [5.38905, 43.30251], [5.38988, 43.30291], [5.39154, 43.30368], [5.39261, 43.30416], [5.3932, 43.30445], [5.3932, 43.30443], [5.39315, 43.30422], [5.39312, 43.30395], [5.39311, 43.30376], [5.39312, 43.30371], [5.39314, 43.30368], [5.39305, 43.30363], [5.39355, 43.30304], [5.39253, 43.30257], [5.39087, 43.30181], [5.38979, 43.30131], [5.38943, 43.30114], [5.38836, 43.30065]]]]","L'agence Cote et Ville vous propose en exclusivité, ce magnifique T2 de 32 M2 meublé, lumineux et rénové avec gout et des matériaux de qualité , situé au 3ème étage d'un immeuble marseillais calme et bien entretenue.
 Il se compose d'une agréable pièce de vie avec un coin salon et une cuisine entièrement équipée, d'une jolie salle d'eau et d'un toilette séparé.
 Entre les Cinq Avenues et les Réformés à deux pas du boulevard Lonchamp et sa vie de quartier animée cet appartement est à visiter sans plus attendre.
 les plus : lumineux / climatisé / entièrement meublé
 Charges 50 euros Loyer 750 euros    Loyer CC 800 euros  / Dépot de garantie : 2 mois de loyer  / Frais d'agence 416 euros ( 10 euros / m2 : bail et 3 euros / m2 état des lieux)
 Visites 7js/7     Contact : Mathieu Bruna :","Magnifique T2 de 32m2 meublé, lumineux et rénové avec gout et de",Appartement à louer,"['2 pièces', '1 chambre', '32 m²', 'Étage 3/5']",800.0,seloger,25QJTV2CJIBF,2.0,1.0,32.0,35.0,,,5.390567067285298,43.302456868024514,25.0
2024-08-26 09:55:00+00:00,2025-07-16 08:33:07.573000+00:00,Marseille 6ème,13006,FRA,MultiPolygon,"[[[[5.37883, 43.29259], [5.37984, 43.29283], [5.37985, 43.29283], [5.37985, 43.29283], [5.3803, 43.29203], [5.38077, 43.2912], [5.38098, 43.29084], [5.38147, 43.29], [5.38138, 43.28998], [5.3798, 43.28955], [5.38003, 43.28897], [5.38004, 43.28893], [5.37883, 43.28857], [5.37858, 43.2892], [5.37817, 43.29014], [5.37815, 43.29019], [5.37803, 43.29047], [5.37801, 43.29052], [5.37761, 43.29146], [5.37729, 43.29222], [5.37883, 43.29259]]]]","Bureaux de 11m² situés au sein d'un cabinet existant de 185m², au premier étage d'un immeuble de la rue Montgrand, à proximité immédiate de la Place Félix Baret, surface lumineuse et espace isolé. Possibilité d'être occupé par des avocats et des comptables. 

Accueil et lieux communs du cabinet à disposition + la climatisation individuelle, internet, le photocopieur, entretien hebdomadaire des bureaux et le matériel bureautique (postes, chaises, meubles), cuisine commun et grande salle de réunion.",À propos de ce bien,Appartement à louer - logement étudiant,"['1 pièce', '11 m²', 'Étage 1/1']",750.0,seloger,243A23DFV8T6,1.0,,11.0,11.0,,,5.379300903829121,43.29085990304177,68.0
